cik,year
0001571498,2017
0001571498,2018
0001571498,2019
0001571498,2020
0001571498,2021
0000033488,2010
0000033488,2011
0000033488,2012
0000033488,2013
0000033488,2014
0000862668,2007
0000862668,2008
0000862668,2009
0000862668,2010
0000862668,2011
0000862668,2012
0000862668,2013
0000866706,2008
0000866706,2009
0000866706,2010
0000866706,2011
0000866706,2012
0000866706,2013
0000866706,2014
0000866706,2015
0000866706,2016
0000866706,2017
0001434868,2016
0001434868,2017
0001434868,2018
0001434868,2019
0001434868,2020
0001434868,2021
0001434868,2022
0000033619,2007
0000033619,2008
0000033619,2009
0000033619,2010
0000033619,2011
0000033619,2012
0000033619,2013
0000033619,2014
0000033619,2015
0000033619,2016
0000033619,2017
0000033619,2018
0001570562,2016
0001570562,2017
0001570562,2018
0001570562,2019
0001570562,2020
0001570562,2021
0001570562,2022
0000753568,2009
0000753568,2010
0000753568,2011
0000753568,2012
0000753568,2013
0000753568,2014
0000753568,2015
0000913165,2008
0000913165,2009
0000913165,2010
0000913165,2011
0000913165,2012
0000913165,2013
0000913165,2014
0000913165,2015
0000913165,2016
0001274737,2018
0001274737,2019
0001274737,2020
0001274737,2021
0001274737,2022
0000939767,2012
0000939767,2013
0000939767,2014
0000939767,2015
0000939767,2016
0000939767,2017
0000939767,2018
0000939767,2019
0001524471,2011
0001524471,2012
0001524471,2013
0001524471,2014
0001078271,2010
0001078271,2011
0001078271,2012
0001078271,2013
0001078271,2014
0001078271,2015
0001078271,2016
0001078271,2017
0001078271,2018
0001078271,2019
0001078271,2020
0001078271,2021
0001078271,2022
0000876523,2011
0000876523,2012
0000876523,2013
0000876523,2014
0000876523,2015
0000876523,2016
0000876523,2017
0000876523,2018
0001314102,2014
0001314102,2015
0001314102,2016
0001314102,2017
0001314102,2018
0001314102,2019
0001314102,2020
0001314102,2021
0000914329,2006
0000914329,2007
0000914329,2008
0000914329,2009
0000914329,2010
0000914329,2011
0000914329,2012
0000914329,2013
0000914329,2014
0000914329,2015
0000354908,2010
0000354908,2011
0000354908,2012
0000354908,2013
0000354908,2014
0000354908,2015
0000354908,2016
0000354908,2017
0000354908,2018
0000354908,2019
0000354908,2020
0001828161,2020
0001828161,2021
0001828161,2022
0001555492,2012
0001555492,2013
0001555492,2014
0001555492,2015
0000917491,2007
0000917491,2008
0000917491,2009
0000917491,2010
0000917491,2011
0000917491,2012
0000917491,2013
0000917491,2014
0000917491,2015
0000917491,2016
0000917491,2017
0000917491,2018
0000917491,2019
0000917491,2020
0000917491,2021
0001434316,2013
0001434316,2014
0001434316,2015
0001434316,2016
0001434316,2017
0001434316,2018
0001434316,2019
0001434316,2020
0001434316,2021
0001434316,2022
0000921299,2014
0000921299,2015
0000921299,2016
0000921299,2017
0000921299,2018
0000921299,2019
0000921299,2020
0000921299,2021
0000921299,2022
0001274494,2006
0001274494,2007
0001274494,2008
0001274494,2009
0001274494,2010
0000840489,2010
0000840489,2011
0000840489,2012
0000840489,2013
0000840489,2014
0000840489,2015
0000840489,2016
0000840489,2017
0000840489,2018
0001447599,2015
0001447599,2016
0001447599,2017
0001447599,2018
0001447599,2019
0001175505,2012
0001175505,2013
0001175505,2014
0001175505,2015
0001175505,2016
0001175505,2017
0001175505,2018
0001175505,2019
0001175505,2020
0000012040,2012
0000012040,2013
0000012040,2014
0000012040,2015
0000012040,2016
0000012040,2017
0000012040,2018
0001419600,2013
0001419600,2014
0001419600,2015
0001419600,2016
0001419600,2017
0001419600,2018
0001419600,2019
0001419600,2020
0000928054,2008
0000928054,2009
0000928054,2010
0000928054,2011
0000928054,2012
0000928054,2013
0000928054,2014
0000928054,2016
0000928054,2017
0000928054,2018
0000928054,2019
0000928054,2020
0000928054,2021
0000928054,2022
0001162194,2016
0001162194,2017
0001162194,2018
0001162194,2019
0001162194,2020
0001162194,2021
0001162194,2022
0001590418,2018
0001590418,2019
0001590418,2020
0001590418,2021
0001590418,2022
0000038074,2006
0000038074,2007
0000038074,2008
0000038074,2009
0000038074,2010
0000038074,2011
0000038074,2012
0000038074,2013
0000038074,2014
0001039399,2008
0001039399,2009
0001039399,2010
0001039399,2011
0001039399,2012
0001039399,2013
0001039399,2014
0001039399,2015
0001039399,2016
0001039399,2017
0001039399,2018
0001039399,2019
0001039399,2020
0001039399,2021
0001519751,2015
0001519751,2016
0001519751,2017
0001519751,2018
0001519751,2019
0001519751,2020
0001519751,2021
0001519751,2022
0001667633,2016
0001667633,2017
0001667633,2018
0001667633,2019
0000883569,2010
0000883569,2011
0000883569,2012
0000883569,2013
0000883569,2014
0000883569,2015
0000883569,2016
0000883569,2017
0000883569,2018
0000883569,2019
0000883569,2020
0000883569,2021
0000883569,2022
0001688941,2018
0001688941,2019
0001488613,2012
0001488613,2013
0001488613,2014
0001488613,2015
0001488613,2016
0001488613,2017
0000038725,2007
0000038725,2008
0000038725,2009
0000038725,2010
0000038725,2011
0000038725,2012
0000038725,2013
0001320854,2008
0001320854,2009
0001320854,2010
0001320854,2011
0001320854,2012
0001320854,2013
0001320854,2014
0001320854,2015
0001320854,2016
0001320854,2017
0001320854,2018
0001320854,2019
0001320854,2020
0001320854,2021
0001320854,2022
0000039047,2009
0000039047,2010
0000039047,2011
0000039047,2012
0000039047,2013
0000039047,2014
0000039047,2015
0001340786,2009
0001340786,2010
0001340786,2011
0001340786,2012
0001340786,2013
0001340786,2014
0001340786,2015
0001680581,2018
0001680581,2019
0001680581,2020
0001680581,2021
0001680581,2022
0001337298,2009
0001337298,2010
0001337298,2011
0001337298,2012
0001337298,2013
0001337298,2014
0001337298,2016
0001337298,2017
0001337298,2018
0001337298,2019
0001337298,2020
0001337298,2021
0001337298,2022
0001644440,2014
0001644440,2015
0001644440,2016
0001644440,2017
0001644440,2018
0001644440,2019
0001644440,2020
0001644440,2021
0001502034,2012
0001502034,2013
0001502034,2014
0001502034,2015
0001502034,2016
0001502034,2017
0001502034,2018
0001394954,2010
0001394954,2011
0001394954,2012
0001394954,2013
0001560241,2015
0001560241,2016
0001560241,2017
0001560241,2018
0001560241,2019
0001560241,2020
0001560241,2021
0001560241,2022
0001126741,2009
0001126741,2010
0001126741,2011
0001126741,2012
0001126741,2013
0001126741,2014
0001126741,2015
0001600438,2018
0001600438,2019
0001600438,2020
0001600438,2021
0001600438,2022
0001133416,2013
0001133416,2014
0001133416,2015
0001133416,2016
0001133416,2017
0001133416,2018
0001133416,2019
0001133416,2020
0001133416,2021
0001133416,2022
0001563577,2018
0001563577,2019
0001563577,2020
0001563577,2021
0001563577,2022
0000064472,2008
0000064472,2009
0000064472,2010
0000064472,2011
0000064472,2012
0000064472,2013
0000064472,2014
0000924383,2009
0000924383,2010
0000924383,2011
0000924383,2012
0000924383,2013
0000924383,2014
0000924383,2015
0001474735,2010
0001474735,2011
0001474735,2012
0001474735,2013
0001474735,2014
0001474735,2015
0001474735,2016
0000040533,2007
0000040533,2008
0000040533,2009
0000040533,2010
0000040533,2011
0000040533,2012
0000040533,2013
0000040545,2007
0000040545,2008
0000040545,2009
0000040545,2010
0000040545,2011
0000040545,2012
0000040545,2013
0000040545,2014
0000040545,2015
0000040545,2016
0000040545,2017
0000040545,2018
0000040545,2019
0000040545,2020
0000040545,2021
0000040545,2022
0001467858,2007
0001467858,2008
0001467858,2009
0001467858,2010
0001467858,2011
0001467858,2012
0001467858,2013
0000018498,2010
0000018498,2011
0000018498,2012
0000018498,2013
0000018498,2014
0000018498,2015
0000018498,2016
0000018498,2017
0001487371,2016
0001487371,2017
0001487371,2018
0001487371,2019
