cik,year
0001661181,2018
0001661181,2019
0001661181,2020
0001661181,2021
0001661181,2022
0001409375,2009
0001409375,2010
0001409375,2011
0001409375,2012
0001409375,2013
0001409375,2014
0001409375,2015
0000884624,2015
0000884624,2016
0000884624,2017
0000884624,2018
0000884624,2019
0000884624,2020
0000884624,2021
0001360886,2008
0001360886,2009
0001360886,2010
0001360886,2011
0001360886,2012
0001360886,2013
0001360886,2014
0001493566,2014
0001493566,2015
0001493566,2016
0001493566,2017
0001493566,2018
0001493566,2019
0001493566,2020
0001493566,2021
0001484612,2018
0001484612,2019
0001484612,2020
0001484612,2021
0001484612,2022
0001101020,2009
0001101020,2010
0001101020,2011
0001101020,2012
0001534504,2016
0001534504,2017
0001534504,2018
0001534504,2019
0001534504,2020
0001534504,2021
0001534504,2022
0001050377,2009
0001050377,2010
0001050377,2011
0001050377,2012
0001050377,2013
0001050377,2014
0001050377,2015
0001050377,2016
0001050377,2017
0001050377,2018
0000882104,2013
0000882104,2014
0000882104,2015
0000882104,2016
0000882104,2017
0000882104,2018
0000882104,2019
0000850579,2006
0000850579,2007
0000850579,2008
0000850579,2009
0000850579,2010
0000850579,2011
0000850579,2012
0000850579,2013
0000767920,2006
0000767920,2007
0000767920,2008
0000767920,2009
0000767920,2010
0000767920,2011
0000767920,2012
0000767920,2013
0000767920,2014
0001070081,2012
0001070081,2013
0001070081,2014
0001070081,2015
0001070081,2016
0001070081,2017
0001070081,2018
0001299130,2016
0001299130,2017
0001299130,2018
0001299130,2019
0001299130,2020
0001299130,2021
0001299130,2022
0001396814,2013
0001396814,2014
0001396814,2015
0001396814,2016
0001396814,2017
0001396814,2018
0001396814,2019
0001396814,2020
0001396814,2021
0001396814,2022
0000075677,2011
0000075677,2012
0000075677,2013
0000075677,2014
0000075677,2015
0000075677,2016
0000075677,2017
0000075677,2018
0000075677,2019
0000075677,2020
0000075677,2021
0000911216,2013
0000911216,2014
0000911216,2015
0000911216,2016
0000911216,2017
0000911216,2018
0000911216,2019
0000881695,2008
0000881695,2009
0000881695,2010
0000881695,2011
0000881695,2012
0001592379,2012
0001592379,2013
0001592379,2014
0001592379,2015
0001592379,2016
0001592379,2017
0001592379,2018
0000821483,2011
0000821483,2012
0000821483,2013
0000821483,2014
0000821483,2015
0000821483,2016
0000821483,2017
0001178711,2013
0001178711,2014
0001178711,2015
0001178711,2016
0001178711,2017
0001178711,2018
0001178711,2019
0001178711,2020
0001178711,2021
0001178711,2022
0000076282,2009
0000076282,2010
0000076282,2011
0000076282,2012
0000076282,2013
0000076282,2014
0000076282,2015
0000076282,2016
0000076282,2018
0000076282,2019
0000076282,2020
0000076282,2021
0000076282,2022
0001592058,2015
0001592058,2016
0001592058,2017
0001592058,2018
0001592058,2019
0001592058,2020
0001592058,2021
0001472091,2018
0001472091,2019
0001472091,2020
0001472091,2021
0001472091,2022
0001019849,2016
0001019849,2017
0001019849,2018
0001019849,2019
0001019849,2020
0001019849,2021
0001019849,2022
0001321732,2013
0001321732,2014
0001321732,2015
0001321732,2016
0001321732,2017
0001321732,2018
0001321732,2019
0000887226,2016
0000887226,2017
0000887226,2018
0000887226,2019
0000887226,2020
0000880177,2010
0000880177,2011
0000880177,2012
0000880177,2013
0001618673,2014
0001618673,2015
0001618673,2016
0001618673,2017
0001618673,2018
0001618673,2019
0001618673,2020
0001001426,2006
0001001426,2007
0001001426,2008
0001001426,2009
0001001426,2010
0001001426,2011
0001001426,2012
0001001426,2013
0001001426,2014
0001001426,2015
0000031791,2011
0000031791,2012
0000031791,2013
0000031791,2014
0000031791,2015
0000031791,2016
0000031791,2017
0000031791,2018
0000031791,2019
0000031791,2020
0000031791,2021
0000031791,2022
0001478121,2015
0001478121,2016
0001478121,2017
0001478121,2018
0001478121,2019
0001169245,2016
0001169245,2017
0001169245,2018
0001169245,2019
0001169245,2020
0001169245,2021
0001783183,2018
0001783183,2019
0001783183,2020
0001783183,2021
0001783183,2022
0001069899,2014
0001069899,2015
0001069899,2016
0001069899,2017
0001069899,2018
0001069899,2019
0001069899,2020
0001069899,2021
0001413329,2014
0001413329,2015
0001413329,2016
0001413329,2017
0001413329,2018
0001413329,2019
0001413329,2020
0001269871,2008
0001269871,2009
0001269871,2010
0001269871,2011
0000802481,2006
0000802481,2007
0000802481,2008
0000802481,2009
0000802481,2010
0000802481,2011
0000802481,2012
0000802481,2013
0000802481,2014
0000802481,2015
0000802481,2016
0000802481,2017
0000802481,2018
0000802481,2019
0000802481,2020
0000802481,2021
0000802481,2022
0001564822,2010
0001564822,2011
0001564822,2012
0001564822,2013
0001564822,2014
0001564822,2015
0001564822,2016
0001449792,2009
0001449792,2010
0001449792,2011
0001449792,2012
0001449792,2013
0001449792,2014
0001449792,2015
0001040161,2009
0001040161,2010
0001040161,2011
0001040161,2012
0001040161,2013
0001040161,2014
0001040161,2015
0001581990,2015
0001581990,2016
0001581990,2017
0001581990,2018
0001581990,2019
0001581990,2020
0001581990,2021
0000722392,2008
0000722392,2009
0000722392,2010
0000722392,2011
0000722392,2012
0000722392,2013
0000722392,2014
0000914025,2020
0000914025,2021
0000914025,2022
0000931015,2007
0000931015,2008
0000931015,2009
0000931015,2010
0000931015,2011
0000931015,2012
0000931015,2013
0001010552,2009
0001010552,2010
0001010552,2011
0001010552,2012
0001010552,2013
0001010552,2014
0001010552,2015
0000945841,2018
0000945841,2019
0000945841,2020
0000945841,2021
0000945841,2022
0001269021,2015
0001269021,2016
0001269021,2017
0001269021,2018
0001269021,2019
0001530950,2010
0001530950,2011
0001530950,2012
0001530950,2013
0001530950,2014
0001530950,2015
0001530950,2016
0001530950,2017
0001530950,2018
0001530950,2019
0001530950,2020
0001530950,2021
0001530950,2022
0000080420,2008
0000080420,2009
0000080420,2010
0000080420,2011
0000080420,2012
0000080420,2013
0000080420,2014
0000080420,2015
0000080420,2016
0000080420,2017
0000080420,2018
0000080420,2019
0000080420,2020
0000080420,2021
0000080420,2022
0000833640,2008
0000833640,2009
0000833640,2010
0000833640,2011
0000833640,2012
0000833640,2013
0000833640,2014
0000833640,2015
0000833640,2016
0000833640,2017
0000833640,2018
0000833640,2019
0000833640,2020
0000833640,2021
0000833640,2022
0001137091,2011
0001137091,2012
0001137091,2013
0001137091,2014
0001137091,2015
0001137091,2016
0001137091,2017
0001137091,2018
0001356090,2012
0001356090,2013
0001356090,2014
0001356090,2015
0001356090,2016
0001356090,2017
0001356090,2018
0001356090,2019
0001356090,2020
0001356090,2021
0001356090,2022
0000079958,2007
0000079958,2008
0000079958,2009
0000079958,2010
0000079958,2011
0000079958,2012
0000079958,2013
0001446159,2018
0001446159,2019
0001446159,2020
0001446159,2021
0001446159,2022
0000080035,2008
0000080035,2009
0000080035,2010
0000080035,2011
0000080035,2012
0000080035,2013
0000080035,2014
0000080035,2015
0000080035,2016
0000080035,2017
0000080035,2018
0000080035,2019
0001365101,2008
0001365101,2009
0001365101,2010
0001365101,2011
0001365101,2012
0001365101,2013
0001365101,2014
0001165231,2008
0001165231,2009
0001165231,2010
0001165231,2011
0001165231,2012
0001165231,2013
0001165231,2014
0001588978,2019
0001588978,2020
0001588978,2021
0001588978,2022
0000835887,2012
0000835887,2013
0000835887,2014
0000835887,2015
0000835887,2016
0000835887,2017
0000835887,2018
0000835887,2019
0001377121,2015
0001377121,2016
0001377121,2017
0001377121,2018
0001377121,2019
0001377121,2020
0001377121,2021
0001377121,2022
0001443669,2016
0001443669,2017
0001443669,2018
0001443669,2019
0001443669,2020
0001443669,2021
0001443669,2022
0000315545,2013
0000315545,2014
0000315545,2015
0000315545,2016
0000315545,2017
0000315545,2018
0000315545,2019
0000315545,2020
0000315545,2021
0001127537,2020
0001127537,2021
0001127537,2022
0001401667,2014
0001401667,2015
0001401667,2016
0001401667,2017
0001401667,2018
0001401667,2019
0001401667,2020
0001401667,2021
0001474432,2014
0001474432,2015
0001474432,2016
0001474432,2017
0001474432,2018
0000081362,2016
0000081362,2017
0000081362,2018
0000081362,2019
0000081362,2020
0000081362,2021
0000081362,2022
0001604778,2015
0001604778,2016
0001604778,2017
0001604778,2018
0001604778,2019
0001604778,2020
0001604778,2021
0001604778,2022
0001423221,2015
0001423221,2016
0001423221,2017
0001423221,2018
0001423221,2019
0001423221,2020
0001423221,2021
0001423221,2022
0001503274,2018
0001503274,2019
0001503274,2020
0001503274,2021
0001503274,2022
0000709283,2018
0000709283,2019
0000709283,2020
0000709283,2021
0000709283,2022
0000891288,2008
0000891288,2009
0000891288,2010
0000891288,2011
0000891288,2012
0000891288,2013
0001481512,2015
0001481512,2016
0001481512,2017
0001481512,2018
0001481512,2019
0000935419,2010
